Nr,Vorname,Nachname,Titel,Geschlecht,Konfession,Bemerkungen
3879,"Anton","Ristl",,0,0,
3887,"Joseph","Fornoseck",,0,0,
3889,"Josepha G.v.","Königsegg",,0,0,
3890,"Karolina G.v.","Thurn",,0,0,
3891,"Antonia G.v.","Padiani",,0,0,
3895,"vacat","vacat",,0,0,
3923,"vacat","vacat",,0,0,
2,"Philipp Ludwig G.v.","Sinzendorf u. Thanhausen","1715 RGV, wGR",2,5,"Reichserbschatzmeister

v"
8,"Friedrich Karl G.v.","Schönborn","1715 wGR",2,1,"v. Buchheim u. Wolfsthal, des Reiches und der öst. Erbkönigreiche, Fürstentümern und Landen Frey Edl- und Pannier, Obrist Erbtruchsess in Ö ob und u der Enns

v"
9,"Ernst Friedrich G.v.","Windischgrätz","1715 RGV, wGR",2,5,"Obrister Erblandstallmeister im Hztm Steyer

v"
10,"Karl Ludwig G.v.","Sinzendorf","1715 wGR",2,5,"Reichserbschatzmeister
Obrister Erbschenk in Österreich ob der Enns
und Erb-Vorschneider und Schildträger in Österreich ob und unter der Enns

v"
11,"Christian August F.v.","Sachsen-Zeitz, EB v. Gran","1715 wGR, Protector Germaniae, Primas von Ungarn",2,1,"Protector Germaniae, Legatus natus des Hl Stuhls 
Primas von Ungarn
Ober Gespan des Comitats zu Gran
Administrator des Bischoffthums Raab
Herzog zu Sachsen, Jülich, Cleve, Berg, usw

v"
12,"Nikolaus G.v.","Illeshazy v. Illeshaza","1715 wGR, K",2,5,"Erb G.v. auf Trentschin
Erb Ober Gespan der Liptauer Gespanschaft

v"
15,"Eugen Franz P.v.","Savoyen u. Piemont","1715 wGR, RGV, GFM, O",2,1,"Markgraf zu Saluzzo, General Lieutenant
Feldmarschall
bestellter Obrister über ein Regiment Dragoner
Capitain-General
Gubernator des mayländischen Staats

v"
16,"Leopold G.v.","Herberstein","1715 wGR, GFM, 1722 RGV",2,0,"Obrister, Erbkämmerer und
Obrister Erb Truchsess in Kärnten 
General Feldmarschall
bestelter Obrister über ein Regiment zu Fuß
1719: General Obrister der Windisch- und Petrinischen Grenze
1722 RGV
starb am 24.12.1727.

v"
17,"Gundacker Thomas G.v.","Starhemberg","1715 GR, K, RGV",2,0,"v"
19,"Anton Florian F.v.","Liechtenstein","1715 wGR, RGV, spGr",2,0,"zu Nikolsburg, starb am 11.10.1721. war vorher Botschafter in Rom und dann Ajo von Erzherzog Karl.

Wohl auch Besoldung auf 1.10.1711 rückdatiert?
V"
20,"Johann Ernst v.","Hätzenberg u. Cronberg","1715 NÖRR, NÖ. Landuntermarschall",2,0,"NÖ Regimentssrat
Landuntermarschall in Ö unter der Enns. Starb am 23.12.1717.

v"
22,"Franz Ignaz Fr.v.","Vertema",,2,0,"dient seit 1679, starb am 20.12.1717. (OMaA, Test, 1717-8).

V"
26,"Johann Karl Ignaz v.","Lembruch",,2,0,"v"
27,"Franz Joseph v.","Lagelberg",,2,0,"änderungen 1718 stehen nur im Prot. 9, im hk erst 1719 als mundschenk

v"
32,"Franz","Steinparzer v. Steinegg",,2,0,"bekommt 1741 eine Pension von 500 fl (Prot 17, 20r)."
36,"Leopold Hieronymus Fr.v.","Ruessenstein","1718 NÖRR, 1722 h.e.",2,0,"1720: zu Hopfenbach
Resignierte am 10.6.1722., starb am 4.11.1723."
37,"Franz Xaver","Brean","1715 SJ",2,1,
39,"Nikolaus","Passotti","Can. Ad S. Steph.
1725 v. Fridenberg",2,1,"v"
41,"Andreas Franz","Trillsam","Can. beim hl. Kreuz zu Breslau und Beneficiatus ad S. Steph in Wien",2,1,"Can. beym heil. Kreuz zu Breslau und Beneficiatus ad S. Steph in Wien
OMaA Test, 1723-10.
starb vor mitte Juni 1723.
v"
43,"Johann Bernhard A.","Göppel","1735 h.e.",2,1,"bekommt 1741 eine Pension von 347 fl  (Prot 17, 20r). Stirbt am 26.2.1743 (Prot 17, 313r).

V"
44,"Bartholomäus","Poli d.Ä.",,2,1,"starb am 1.11.1729. Onkel von Bartholomäus P (d.J) (P 10, 324v). Seine hinterlassene, unverheiratete mämb und wirtschafterin sucht um pension an, bekommt 100 fl. P 12, 606r).

V"
45,"Joseph","Regedin",,2,1,"mit I.M. der Kaiserin hier angekommen.

Mit einer Maria Elisabeth verheiratet, seine Tochter M. Elisabeth heiratet 1741 (Trauungsbuch St. Stephans 1739-41, 573). 

V"
46,"Christian","Wachter",,2,1,"mit Karl aus Spanien gekommen. Besoldung rückwirkend ab 1.10.1711. bekommt 1741 eine pension von 200 fl nebst der besoldung (Prot 17, 20v).

V"
48,"Gottfried Edmund","Syberz",,2,1,"mit I.M. Der Kaiserin aus Spanien gekommen.

V"
49,"Hermann v.","Grevenbruch",,2,0,"Besoldung rückwirkend ab 1.10.1711. stirbt 1728, setzt seine Schwester Helena Constantia als Erbin ein und vermacht auch viel dem Armenhaus vor dem Schottentor. (OMaA Test 632, 1728/13).

V"
52,"Rudolph","Hayeck","1726 v. Hayeck",2,0,"Besoldung rückwirkend ab 1.10.1711. starb am 16.9. 1730 (P 12, 623r).

Eine Maria Anna Josepha HvW, Tochter von Johann Sigmund HvW, RHR Referendar und Sekretär heiratet Cetto v. Cronstorf 13.6.1728 (Trauungsbuch St. Stephan, 1725-29, 663)."
53,"Johann Joseph","Muffat",,2,0,"Besoldung rückwirkend ab 1.10.1711. diente 1731 bereits seit 30 Jahren (P 13, 11v)."
54,"Wolfgang Adam","Prieffer",,2,0,"Besoldung rückwirkend ab 1.10.1711."
62,"Johann Joseph","Schkriner",,2,0,"Besoldung rückwirkend ab 1.10.1711. verh. Mit Maria Anna Schkriner, Sohn Joseph Peter Wenzel wird im Mai 1715 geboren, Paten sind Cornelius Joseph Hass und Wenzel Pliska (Taufbuch St. Michael 01-07, 1713.-18, fol. 113)."
63,"Jakob","Schäbel",,2,0,"starb vor Juni 1714."
66,"Martin Christoph","Weisskampf",,2,0,
73,"Christian","Steber",,2,0,
74,"Adam Friedrich","Krehmer",,2,0,"besoldung rückwirkend ab 1. okt 1711."
76,"Michael","Schirmer",,2,0,"Besoldung rückwirkend ab 1.okt 1711. bekommt 1741 eine Pension von 240 fl nebst der besoldung (P 17, 20v)."
81,"Johann Bernhard","Fischer v. Erlach",,2,0,"hinterlass. Josephinischer Oberbauinspektor (seit 1705). Bekommt Besoldung von 2000 fl.
1656 geboren, von Althan besonders gefördert, auch sein Sohn dessen Protegé. 1696 erblicher Adel verliehen, Prädikat  ""von Erlakhen"", vermutlich 1694 als Hofingenieur aufgenommen, 1705 Hofarchitekt u Oberinspektor. Der Titel ""Surintendant des batiments du roi"" dem franz. Vorbild nachgebildet, den Jean Hardouin-Mansart als erster Architekt in Frankreich seit 1699 führte. (Pohl, Hofbauamt, 18).

War auch Controleur (des Bauwesens? Benedik, Normierung, 178).

Vater von Joseph Emmanuel F.v.E.
V"
87,"Claudius","Appelshofer",,2,0,"Besoldung rückwirkend ab 1.10.1711. 
verheiratet mit 1, Anna Theresia geb. Trunckhin v. Guettenberg, daraus mind. 2 Töchter hervorgegangen: Maria Elisabeth (ist 1718 25 J alt), Maria Ernestina (ist 1718 19 J alt)
2, Theresia Anna Maria Kolb v. Kollenburg, Tochter v. Johann Wilhelm Kolb v. Kollenburg. Eine Tochter Maria Eleonora (1718 10 J alt).
Verlassenschaftsabh.1718.  Vater von Tänzerscholar Joseph A. (P 16, 252v)."
88,"Simon Peter","Levastori della Motta","auch Tanzlehrer MTs",2,0,"Besoldung rückwirkend ab 1.10.1711. starb vor Feb 1733 (P 14, 70v). Vater von Thomas Kajetan della M. (P 13, 506r)."
89,"Franz Joseph Matthias","Lang","1723 v. Langenau",2,0,"Besoldung rückwirkend ab 1.10.1711"
92,"Franz Joseph","Selliers",,2,0,"Besoldung rückwirkend ab 1.10.1711. Vater von Anton S., Onkel von Nikolaus S. (P 12, 258r-v). Mehrere Kinder. Frau Anna Jaqueline d´Akbourg (Test 632, 1732/18). Schwiegertochter (über Anton) Magdalena Josepha, geb. Esslinger (OMaA 636, 1740/11)."
93,"Andreas","Bruno",,2,0,"Besoldung rückwirkend ab 1.10.1711. Bekommt 1741 eine Pension von 200 fl (P 17, 50r).
Starb 1749, OMaA Test 1749-7."
102,"Johann Joseph","Fux",,2,0,"Besoldung rückwirkend ab 1.10.1711.

starb am 13.2.1741 (OMeA ÄZA K. 40, 5r-6v)."
103,"Karl (Carlo)","Badia",,2,0,"Besoldung rückwirkend ab 1.10.1711. Ehemann von Anna Lisa Badia."
109,"Johann Baptist","Vergelli",,2,0,"Besoldung rückwirkend ab 1.10.1711. bekommt 1741 eine Pension von 720 fl (Prot 17, 50r)."
128,"Anton","Bigoni","1722 h.e.",2,0,"aus Mailand. Geht 1722 dorthin zurück. 1741 bekommt er eine Pension von 600 fl (Prot 17, 49v)."
134,"Gottlieb","Muffat","1735 h.e.",2,0,"Besoldung rückwirkend ab 1.10.1711. ging mit Maria Anna in die NL. Vater von Joseph M (P 14, 14v)."
139,"Johannes","Franck",,2,0,"Besoldung rückwirkend ab 1.10.1711"
143,"Paul","Alber",,2,0,"Besoldung rückwirkend ab 1.10.1711. Vetter von Johann Alber (P 14, 31r)."
146,"Ferdinand","Woller",,2,0,"Dient seit 1702. Besoldung rückwirkend ab 1.10.1711. Vater von Johann Jakob Woller (P 12, 650r). Schwager von Anton Schnautz, Bruder von Franz Woller, Lieutnant (P 15, 328r).
TZ von Matthias Beck(Päck) und Spekl Hochzeit 1728 gemeinsam mit Ristl (Schotten, Trauungsbuch 1725-31, 130)."
155,"Franz","Schmidbauer",,2,0,"gibt seine Kinder Gottlieb Muffat als Gerhab (P 16, 217v)"
161,"Ferdinand","Fichtl",,2,0,"Besoldung rückwirkend ab 1.10.1711. verlassenschaftsabh."
163,"Leopold","Prameyer",,2,0,"Besoldung rückwirkend ab 1.10.1711"
169,"(Johann) Karl (Carlo)","Maillard",,2,0,"geb. ca. 1660, Besoldung rückwirkend ab 1.10.1711. Vater von Anton M. ( P 13, 116v)."
176,"Andreas","Bohr",,2,0,"Besoldung rückwirkend ab 1.10.1711"
183,"Sebastian","Nosotto",,2,0,"geb. ca. 1664, seit ca. 1701 im Hofdienst (Antonicek, Dokumente Joseph I., 26). Besoldung rückwirkend ab 1.10.1711. 

Vater von Joseph N (P 9, 126v)."
185,"Matthias","Staindl",,2,0,
187,"Franz","Turnowsky",,2,0,"Besoldung rückwirkend ab 1.10.1711. Vater von Joseph T. ( P 12, 297r)."
196,"Franz Peter","Schnautz","1722 h.e., 1731-40 s.n.",2,0,"geb. ca. 1699, seit ca. 1708 im Hofdienst, ebenfalls zunächst als Instrumentendiener, seit 1709 Scholar (Antonicek, Dokumente Joseph I., 28). 

Sohn von Johann Baptist Schnautz ( P 7, 609r), Ehemann von Anna Barbara, geb Rogenhofer (P 23, 256r). Folgt seinem Vater als Adjunkt und mit Versicherung auf die Instrumentdiener-Stelle.
Starb 1755, Pension für 3 Töchter Maria Anna, Regina und Barbara (P 23, 259v)."
200,"Johann Lazarus","Fux",,2,0,"Stiefsohn von Anton Posch (Darmstädter, Neues zu den, 103). Wird auf betreiben des Vaters als Adj aufgenommen (Ebd). Folgte seinem Stiefvater im Amt nach, der 20 Jahre Lautenmacher gewesen war. Besoldung rückwirkend ab 1.10.1711., wechsel 1719 eig. Erst 1720 im hk
Starb am 19. Nov. 1730 (Ebd, 107)."
203,"Raniero","Borrini",,2,0,
204,"Joseph","Galloni",,2,0,
206,"Matthias","Hammer",,2,0,"ca. 1648 geb., Vater von Johann Paul H. (P 12, 25v), dient 1728 bereits seit 48 Jahren."
207,"Anton","Salcki (Salchi)",,2,0,"geb. ca. 1649, seit ca. 1682 im Hofdienst, 1711 pensioniert (Antonicek, Dokumente Joseph I., 28)."
210,"Medardus","Bronzetti",,2,0,
211,"Anton","Ferrini",,2,0,
212,"Johann Baptist","Barbaretti",,2,0,
215,"Vinzenz","Oliviciani",,2,0,
216,"Dominik","Pera",,2,0,
217,"Anton","Manna",,2,0,"kais. Leopoldin., ist Priester geworden."
218,"Colman","Pomberger",,2,0,
219,"Johann","Maghi",,2,0,
220,"Kaspar","Wenger",,2,0,
221,"Leo G.v.","Ulfeld","1715 wGR, GFM",2,0," bestellter Obrister über ein Regiment Cürassiers. 

Verheiratet mit Anna Maria Sinzendorf (seit 1697), Vater von Anton Corfiz G.v. U. (wiki).
Starb am 11.4.1716 in Wien (wiki)
v"
224,"Anton de","Combles et de la Place","1722 h.e., 1735 h.e., 1737 O",2,0,"war in Spanien Brigadier der Leibgarde.

V"
225,"Philipp Sigmund G.v.","Dietrichstein","1715 wGR, RGV",2,0,"Erbschenk in Kärnten
Erbland-Obristerjägermeister im Hzgtm Steyer. Besoldung rückwirkend ab 1.10.1711
gest. 3.7.1716

vor ihm war Adam Franz F.v. Schwarzenberg OStM (Mörz 1711-Okt. 1711). (Hörrmann, Fürst Anton Florian, 198).
V"
227,"Johann Georg","Hofmann",,2,0,
228,"Sigmund Rudolph G.v.","Sinzendorf","1715 wGR, RGV,spGr, GFML",2,0,"war schon bei Karl in Spanien Oberstkämmerer. Besoldung rückwirkend ab 1.10.1711. bis 4.11.1724 OK, ab 5.11. Ome (Topka). Freiherr auf und zu Ernstbrunn
Erbschatzmeister des Reiches
Erbschenk in Österreich ob der Enns
Grand d´Espagne (1720 1. Klasse). 

Gest. 8.1.1747
V"
229,"Vitus","Tönneman","1715 SJ",2,1,"Besoldung rückwirkend ab 1.10.1711.
v"
230,"Andreas Jakob","Fack","1715 Rat",2,0,"Ritter des hl Habit Christi

v"
232,"Franz","Holler v. Doblhof","1715 Rat, 1721 HRRR",2,0,"Besoldung rückwirkend ab 1.10.1711

v"
233,"Franz Friedrich","Possinger v. Bechernstein","1715 Rat, 1721 HRRR",2,0,"Besoldung rückwirkend ab 1.10.1711

v"
234,"Karl Wolfgang v.","Lebzelter","1715 Rat, 1721 HRRR",2,0,"Vater von Leopold und Karl Sebastian. War Ehemann von Anna Barbara, geb. Wenighofer (Kh-M, 1774, 381).

V"
236,"Gabriel","Joly (Jolio)","1715 Rat",2,0,"bekommt 1741 eine Pension von 1125 fl (Prot 17, 24v).

V"
240,"Johann Baptist v.","Isendick","1719 Rat",2,0,"Besoldung rückwirkend ab 1.10.1711. starb nach  Sept. 1733 nach 40 Dienstjahren  (P 14, 403v). Starb im Juli 1734 (OMaA Test 634, 1734/12)

Eine Verwandte, Anna Clara ist mit Franz Elias v Collet, Schlosshauptmann in Wr. Neustadt verheiratet (Trauungsbuch St. Stephan 1739-40, 307).

Vertritt Karl VI. als Taufpate für einen getauften Türken Ali-Basha Turca, 39 Jahre alt, getauft auf Namen Carl Johannes am 8.5.1715.  (Hofburgpfarre, Tauf-, Trauungsbuch, 1619-1755, 81). 
Taufpate für den Sohn des Hofgärtners Ferdinand Leidl, Johannes Andreas, getauft am 30.12.1716. Mit ihm Taufpatin ist Anna Barbara Högl, Kammerfrau Eleonoras. Er lässt sich von Kammertrabant Johann Andreas Dier vertreten, sie sich von Kammermensch Margaretha Schenk (Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 89). 

Seine Witwe Maria Anna v Isendick, geb. Hecking, heiratet im Dez 1740 neu, nämlich Ludwig Casimir Laschansky, Hoflegat, cop in Baden (Trauungsbuch St. Stephan 1739-40, 505)."
244,"Christoph","Rascher",,2,0,"Besoldung rückwirkend ab 1.10.1711."
255,"Franz","Weinhoffer",,2,0,"Besoldung rückwirkend ab 1.10.1711. Schwager von Johann Joseph Beer, dem Vetter von Sommelier Franz Beer ( P 12, 482v)."
257,"Johann Georg","Kallschoffer",,2,0,"Besoldung rückwirkend ab 1.10.1711. verlassenschaftsabh."
264,"Ignaz","Heinitz v. Heitzenthal",,2,0,"bekommt 1741 eine Pension von 150 fl (P 17, 24v)."
265,"Matthias","Steindl",,2,0,
266,"Johann Baptist della","Robers",,2,0,
268,"Johann Baptist Fabricius","Cerrini",,2,0,"Besoldung rückwirkend ab 1.10.1711. als Musiker J erst ab 1718 im HK. 1731: Cerrini starb d 30. Nov.1730. verlassenschaftsverh seiner Frau Maria Magdalena 1718. Vater von Elisabeth Cerrini, vereh. Brunettin und von 10 weiteren Kindern. (P 12, 575v). Vater von Theresia und Magdalena C. (P 10, 263r). Bruder von Ferdinand Cerini (P 13, 245v). Geb. ca. 1648.

Eine Elisabeth Cerrini, geb. Andrada, bekommt ab 1.4.1770 130 fl aus dem Geh. KZA. Sie war vorhin bei den Ursulinen zu Olmütz und hat sich dann mit dem Ingenieur UL verehelicht. Ihr Mann wird 1773 OL und Festungsdirektor in Raab, genießt aber nur die UL Gage, Pension bis 9.12.1774 (Geh. KZA 6, fol. 42, Nr. 256)."
270,"Johann Ludwig","Köck v. Wittelsbrunn","1716 v. Wittelsbrunn",2,0,"Witwer, wohnhaft im seine Tochter Maria Anna k.v. W. heiratet am 25.1.1733  Johann Ferdinand Praitenaucher v Praitenau, Kammerdiener. TZ sind Ferdinand Pichler, Regierungssekretär und Franz Eyl, JUD (Schotten, Trauungsbuch, 1731-37, fol. 81).



V"
272,"Georg Ferdinand","Stromaintz",,2,0,
273,"Peter","Sini",,2,0,
274,"Joseph Anton","Sommervogel",,2,0,
276,"Paul","Urban",,2,0,
277,"Christoph","Jan",,2,0,
278,"Adam Franz F.v.","Schwarzenberg","1715 wGR, K, RGV, 1722 h.e.",2,0,"war vorher wohl Oberststallmeister (17.3.1711-1.10.1711). (Hörrmann, Fürst Anton Florian, 198). 

Besoldung als Obersthofmarschall rückwirkend ab 1.10.1711. Ernennung am 4.11.1711 (Topka) - 17.4.1722 Oma. 

OStM 18.4.1722 - 11.6.1732, wurde bei einem Jagdunfall von Karl VI. erschossen. Franz Leopold Graf v Sternberg ist sein Schwager (Mitis, 30f)

v"
279,"Leonhard","Bauer","1715 JUD",2,0,"seit 1705 s.n. Assessor (OMaA K 1, 42). Starb vor März 1718. Sein Vorgänger Melchior Scheibelauer ist entlassen worden.

V"
281,"Peter","Strozzi",,2,0,
283,"Karl Friedrich Joseph Fr.v.d.","Beck",,2,0,
284,"Leopold G.v.","Scherffenberg",,2,0,
285,"Wenzel Fr.v.","Vernier",,2,0,
286,"Karl Joseph Fr.v.","Wallis",,2,0,
287,"Franz v.","Nuza u. Palcenzia",,2,0,
288,"Joseph G.v.","Cyrat",,2,0,
289,"Joseph Queralt G.v.","Santa Coloma",,2,0,
290,"Rainald G.v.","Rinaldi",,2,0,
291,"Franz Anton G.v.","Trivulzzi",,2,0,
292,"Michael Anton G.v.","Althann",,2,0,
294,"Joseph G.v.","Breuner",,2,0,
296,"Karl Leopold G.v.","Caraffa",,2,0,
298,"Adolph Jakob G.v.","Edling",,2,0,
299,"Franz G.v.","Neuhaus",,2,0,
300,"Johann Bernhard","Pelser","1715 JUD, 1726 HR",2,0,"v"
301,"Johann Georg","Hundeshagen","1715 JUD",2,0,"v"
303,"Prosper Simon","Gerhauser","1715 JUD, 1715-17 s.n.",2,0,"Vater von Kammerdienerin Barbara Gerhauser (Hofburgpfarre, Sterbebuch 1755-1824, 41)."
305,"Johann Karl","Herling",,2,0,"Besoldung rückwirkend ab 1.10.1711. starb am 8.6.1729 (P 12, 461v)."
311,"Ferdinand Philipp v.","Goor","1725 h.e., 1726 v., Rat",2,0,"Besoldung rückwirkend ab 1.10.1711.

starb vor März 1736. Hat zumindest einen Sohn Hubert Anton Karl und eine Tochter Anna Maria, verh. V. Kaimb. 3 Brüder Johann Heinrich, Gerhard und Wilhelm Goor. Vetter Heinrich Goor UL unter dem Alt Daunischen Reg. Zu Fuß. Tochter als Univ. Erbin. Eidam (Schwiegersohn?) Johann Jakob v. Kaimb, Hofkammerregistrator, dessen Tochter (ist Goors Enkelin) Anna Maria Caecilia v. Kaimb (OMaA Test 634, 1736/2). 

Eine Anna Theresia v. Goor, Witwe nach Anton v. Goor heiratet am 17.2.1744 Franz Karl Lachausé (La Chausée?) aus Lothringen bei den Schotten (St. Stephan, Trauungsbuch 1741-45, 468). 
V"
319,"Franz Anton G.v.","Khuen",,2,0,
320,"Georg","Wilkowitz","1720 JUD, 1728 v., 1745 Rat",2,0,"war in Spanien interim. Edelknaben Präzeptor. Lt Schem 1719 ist er in beiden ämtern, also idente Person. 1728 resigniert mit Ende Juni seinen Posten bei den Edelknaben (HK 1728)

v"
321,"Mainrad","Böcklin","Gesch., Geogr.",2,0,
322,"Thomas Kajetan","Levastori della Motta",,2,0,"bekommt 1741 eine Pension von 280 fl (P 17, 50v). Sohn von Simon Peter L della M. (P 13, 506), Ehemann von Maria Anna Philebois (P 26, 27v)."
324,"Anton","Bourmastin",,2,0,
325,"Johann Baptist","Querieri",,2,0,
326,"Karl","Gritzenbach",,2,0,"starb Ende Mai/Anfang Juni 1733. Hinterlässt eine Ehefrau Monika Gertraud, geb. Gillis und 2 Töchter Maria Franziska und Maria Anna (OMaA Test 634, 1733/12)."
328,"Philipp Jakob","Schopff",,2,0,"seit mind. 1713 Hofkoch. Bekommt 1741 eine Pension von 224 fl (Prot 17, 20v)."
329,"Joseph Friedrich E.v.","Wurtzern","1728 HRRR, Rat, ab 1736 jubil.",2,0,"v"
330,"Johann","Lukawsky",,2,0,
333,"Anton","Funck",,2,0,
336,"Peter","Michelletti","ab 1736 jubil.",2,0,
337,"Johann","Hauser","ab 1736 jubil.",2,0,
338,"Gabriel","Solimano",,2,0,
339,"Franz Karl","Goyo del Quasto",,2,0,
341,"Joseph Anton","La Bruna",,2,0,
342,"Wenzel Michael","Scheck",,2,0,
345,"Johann Friedrich","Woller",,2,0,
346,"Karl Joseph","Stubmer",,2,0,"bekommt 1741 eine Pension von 750 fl (Prot 17, 36r). Verlassenschaftsabh seiner Frau 1721"
349,"Matthias","Schiessl",,2,0,
350,"Valentin","Langsteger",,2,0,
